id mostra,depuradora,        MS2(CG/L),        N2(CG/L),        N1(CG/L),        Adenovirus humans(CG/L),        E(CG/L),        N1r(CG/L),        N2r(CG/L),        Control intern(CG/L),        TGEV(CG/L),        IP4(CG/L),        Mengovirus(CG/L),        Diana4(CG/L),        Control inTGEV(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual,
DBSS-2020-10-05,BESÒS,353.57,51843,21488,,,,,,,,,,,359794.63,0,,false,
DBSS-2020-10-12,BESÒS,3577800,54533,94638,85342,,,,,,,,,,0,0,,false,
DCER-2020-07-09,CERVERA,18360000,,5506.8,,450,,,,,,,,,10.17,0,,false,
DCER-2020-07-20,CERVERA,29556000,,5036.7,,540,,,,,,,,,15430,0,,false,
DCER-2020-08-03,CERVERA,95423000,360,360,,,,,,,,,,,,,,false,
DCER-2020-08-17,CERVERA,,480,480,,480,,,451930000,,,,,,,,,false,
DCER-2020-08-31,CERVERA,450,450,450,,,,,,,,,,,1800,0,,false,
DCER-2020-09-14,CERVERA,24043000,1207.2,5915.4,,,,,,,,,,,18930,0,,false,
DCER-2020-09-28,CERVERA,7195500,10020,14840,,,,,,,,,,,1850,0,,false,
DCER-2020-10-12,CERVERA,33018000,141680,107540,,,,,,,,,,,18900,0,,false,
DCPA-2020-07-06,CASTELL-PLATJA_D'ARO,13849000,,761.9,44415,761.9,,,,,,,,,14225,0,,false,
DCPA-2020-07-20,CASTELL-PLATJA_D'ARO,98388,14045,11195,67600,,,,,,,,,,13815,0,,false,
DCPA-2020-08-03,CASTELL-PLATJA_D'ARO,19585000,1869.5,41514,122900,,,,,,,,,,19070,6,,false,
DCPA-2020-08-17,CASTELL-PLATJA_D'ARO,12473000,13384,17613,868.9,,,,,,,,,,13480,0,,false,
DCPA-2020-08-31,CASTELL-PLATJA_D'ARO,16336000,393.68,4051.5,4036.9,,,,,,,,,,13500,42,,true,
DCPA-2020-09-14,CASTELL-PLATJA_D'ARO,8818300,14420,32514,279770,,,,,,,,,,115150,0,,false,
DCPA-2020-09-28,CASTELL-PLATJA_D'ARO,10555000,1461,3081.1,,,,,,,,,,,8289,0,,false,
DCPA-2020-10-12,CASTELL-PLATJA_D'ARO,1139000,27666,48341,45046,,,,,,,,,,8682,0,,false,
DFIG-2020-07-13,FIGUERES,,,148.15,,148.15,,,,148.15,160.97,,,,15652,2.8,,true,
DFIG-2020-07-27,FIGUERES,,,3612.8,,148.15,,,,11603,6201.8,,,,0,0,,false,
