id mostra,depuradora,N1(CG/L),N2(CG/L),IP4(CG/L),E(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual
DAMP-2021-09-13,AMPOSTA,9038,800,,,4418,0,,false
DAMP-2021-09-20,AMPOSTA,352,352,,,4719,0,,false
DAMP-2021-09-30,AMPOSTA,5809,432,,,,,,false
DAMP-2021-10-04,AMPOSTA,13445,680,,,4341,0,,false
DAMP-2021-10-12,AMPOSTA,10326,24339,,,,,,false
DAMP-2021-10-18,AMPOSTA,8552,13042,,,1705,0,,false
DAMP-2021-10-26,AMPOSTA,1354,747,,,,,,false
DAMP-2021-11-02,AMPOSTA,2721,5461,,,3421,0,,false
DAMP-2021-11-08,AMPOSTA,1039,1213,,,3320,0,,false
DAMP-2021-11-15,AMPOSTA,20477,352,,,3373,0,,false
DAMP-2021-11-22,AMPOSTA,5854,2674,,,5397,0,,false
DAMP-2021-11-29,AMPOSTA,18335,47500,,,3314,0,,false
DAMP-2021-12-08,AMPOSTA,3158,5535,,,3779,0,,false
DAMP-2021-12-13,AMPOSTA,122906,219416,,,3795,0,,false
DAMP-2021-12-20,AMPOSTA,106240,89454,,,3340,0,,false
DAMP-2021-12-27,AMPOSTA,145215,195774,,,3787,0,,false
DAMP-2022-01-03,AMPOSTA,49700,69121,,,3207,0,,false
DAMP-2022-01-10,AMPOSTA,383079,393340,,,3348,0,,false
DAMP-2022-01-17,AMPOSTA,121298,196050,,,3415,0,,false
DAMP-2022-01-24,AMPOSTA,152247,130918,,,3325,0,,false
DAMP-2022-01-31,AMPOSTA,214149,554920,,,3309,0,,false
DAMP-2022-02-07,AMPOSTA,243205,804257,,,3406,0,,false
DAMP-2022-02-14,AMPOSTA,18981,32518,,,3515,0,,false
DAMP-2022-02-21,AMPOSTA,11549,37439,,,3345,0,,false
DAMP-2022-02-28,AMPOSTA,61849,98174,,,3368,0,,false
DAMP-2022-03-07,AMPOSTA,34914,27763,,,3806,0,,false
DAMP-2022-03-14,AMPOSTA,308299,201480,,,4008,0,,false
DAMP-2022-03-21,AMPOSTA,9346,6844,,,3371,0,,false
DAMP-2022-03-28,AMPOSTA,58162,55063,,,3424,0,,false
DAMP-2022-04-04,AMPOSTA,23930,18051,,,3460,0,,false
DAMP-2022-04-11,AMPOSTA,106375,82322,,,3565,0,,false
DAMP-2022-04-19,AMPOSTA,52215,58210,,,3485,0,,false
DAMP-2022-04-25,AMPOSTA,92925,76635,,,5188,0,,false
DAMP-2022-05-02,AMPOSTA,28538,8755,,,7446,0,,false
DAMP-2022-05-09,AMPOSTA,22690,28977,,,6224,0,,false
DAMP-2022-05-16,AMPOSTA,76499,87403,,,7069,0,,false
DAMP-2022-05-23,AMPOSTA,51954,59406,,,6534,0,,false
DAMP-2022-05-30,AMPOSTA,331162,806612,,,6486,0,,false
DAMP-2022-06-06,AMPOSTA,50108,72566,,,,,,false
DAMP-2022-06-13,AMPOSTA,112748,145646,,,4000,0,,false
DAMP-2022-06-20,AMPOSTA,131409,185775,,,4000,0,,false
DAMP-2022-06-27,AMPOSTA,462511,462608,,,4000,0,,false
DAMP-2022-07-04,AMPOSTA,113814,209062,,,4000,0,,false
DAMP-2022-07-11,AMPOSTA,101571,75722,,,4000,0,,false
DAMP-2022-07-18,AMPOSTA,316364,365319,,,4000,0,,false
DAMP-2022-07-25,AMPOSTA,201085,316259,,,4000,0,,false
DAMP-2022-08-08,AMPOSTA,17389,31349,,,4000,0,,false
DAMP-2022-08-22,AMPOSTA,76889,159494,,,4000,0,,false
DAMP-2022-09-05,AMPOSTA,17038,17450,,,3544,0,,false
DAMP-2022-09-12,AMPOSTA,41912,31514,,,4118,0,,false
DAMP-2022-09-19,AMPOSTA,12948,16044,,,4095,0,,false
DAMP-2022-09-27,AMPOSTA,23570,19234,,,,,,false
DAMP-2022-10-03,AMPOSTA,34966,228835,,,3900,0,,false
DBAL-2020-07-06,BALAGUER,450,,,450,7294,0,,false
DBAL-2020-07-13,BALAGUER,4381,,,17741,7514,7,,false
DBAL-2020-07-20,BALAGUER,13367,,,420,7063,0,,false
DBAL-2020-07-27,BALAGUER,13709,360,,,7474,0,Valor Puntual,false
DBAL-2020-08-03,BALAGUER,6994,420,,,7378,0,Valor Puntual,false
DBAL-2020-08-10,BALAGUER,300,300,,,7259,0,,false
DBAL-2020-08-17,BALAGUER,17338,360,,360,7420,0,,false
DBAL-2020-08-24,BALAGUER,450,450,,450,7547,0,,false
DBAL-2020-08-31,BALAGUER,500,500,,,8024,0,,false
DBAL-2020-09-08,BALAGUER,8359,4734,,,,,Canvi Metodològic,false
DBAL-2020-09-14,BALAGUER,7239,1555,,,7675,0,,false
DBAL-2020-09-21,BALAGUER,29049,143,,,7162,0,,false
DBAL-2020-09-28,BALAGUER,19456,8753,,,6104,0,,false
DBAL-2020-10-05,BALAGUER,418606,199636,,,6092,0,,false
DBAL-2020-10-12,BALAGUER,4192,5685,,,5812,0,,false
DBAL-2020-10-19,BALAGUER,23250,37839,,,5385,0,,false
