id mostra,depuradora,LD(CG/L),N1(CG/L),N2(CG/L),IP4(CG/L),E(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual
DBAL-2020-08-03,BALAGUER,420,6994,420,,,7378,0,Valor Puntual,false
DBAL-2020-08-10,BALAGUER,300,300,300,,,7259,0,,false
DBAL-2020-08-17,BALAGUER,360,17338,360,,360,7420,0,,false
DBAL-2020-08-24,BALAGUER,450,450,450,,450,7547,0,,false
DBAL-2020-08-31,BALAGUER,500,500,500,,,8024,0,,false
DBAL-2020-09-08,BALAGUER,143,8359,4734,,,,,Canvi Metodològic,false
DBAL-2020-09-14,BALAGUER,214,7239,1555,,,7675,0,,false
DBAL-2020-09-21,BALAGUER,143,29049,143,,,7162,0,,false
DBAL-2020-09-28,BALAGUER,171,19456,8753,,,6104,0,,false
DBAL-2020-10-05,BALAGUER,171,418606,199636,,,6092,0,,false
DBAL-2020-10-12,BALAGUER,171,4192,5685,,,5812,0,,false
DBAL-2020-10-19,BALAGUER,171,23250,37839,,,5385,0,,false
DBAL-2020-10-26,BALAGUER,171,41423,517,,,5206,0,,false
DBAL-2020-11-02,BALAGUER,171,169340,138876,,,5346,0,,false
DBAL-2020-11-09,BALAGUER,171,33010,160519,,,5206,0,,false
DBAL-2020-11-16,BALAGUER,171,57927,171,,,4740,0,,false
DBAL-2020-11-23,BALAGUER,171,92243,21347,,,7088,0,,false
DBAL-2020-11-30,BALAGUER,171,15800,171,,,6760,0,,false
DBAL-2020-12-08,BALAGUER,143,7930,3839,,,7419,0,,false
DBAL-2020-12-14,BALAGUER,171,8309,421,,,7603,0,,false
DBAL-2020-12-21,BALAGUER,143,11679,1497,,,7296,0,,false
DBAL-2020-12-28,BALAGUER,171,108023,7907,,,7306,0,,false
DBAL-2021-01-04,BALAGUER,143,35978,52575,,,7245,0,,false
DBAL-2021-01-11,BALAGUER,171,128007,141703,,,8555,0,,false
DBAL-2021-01-18,BALAGUER,143,43207,56472,,,7206,0,,false
DBAL-2021-01-25,BALAGUER,171,37831,11123,,,7380,0,,false
DBAL-2021-02-01,BALAGUER,143,161,143,,,6048,0,Analítica confirmada per repetició,true
DBAL-2021-02-08,BALAGUER,171,5558,171,,,7074,0,,true
DBAL-2021-02-15,BALAGUER,143,72356,38988,,,6310,0,Analítica confirmada per repetició,true
DBAL-2021-02-23,BALAGUER,171,16095,171,,,,,,false
DBAL-2021-03-01,BALAGUER,143,5095,143,,,5855,0,,false
DBAL-2021-03-08,BALAGUER,171,1429,171,,,5883,0,,false
DBAL-2021-03-15,BALAGUER,143,78902,37942,,,5362,0,,false
DBAL-2021-03-22,BALAGUER,171,7556,347,,,5792,0,,false
DBAL-2021-03-29,BALAGUER,143,1026,143,,,6453,0,,true
DBAL-2021-04-05,BALAGUER,171,67420,21466,,,6068,0,,false
DBAL-2021-04-15,BALAGUER,143,17780,3639,,,,,,false
DBAL-2021-04-19,BALAGUER,171,8894,5695,,,5664,0,,false
DBAL-2021-04-26,BALAGUER,143,51900,37649,,,7531,0,,false
DBAL-2021-05-03,BALAGUER,293,81397,470,,,6579,0,,false
DBAL-2021-05-10,BALAGUER,200,2545,3916,,,8060,0,,false
DBAL-2021-05-17,BALAGUER,220,8503,220,,,6739,0,,false
DBAL-2021-05-24,BALAGUER,224,3757,224,,,6886,0,,false
DBAL-2021-05-31,BALAGUER,300,20626,1545,,,6524,0,,false
DBAL-2021-06-07,BALAGUER,200,8455,1291,,,7015,0,,false
DBAL-2021-06-14,BALAGUER,200,200,200,,,7300,0,,false
DBAL-2021-06-21,BALAGUER,200,2471,737,,,7224,0,,false
DBAL-2021-06-28,BALAGUER,200,200,443,,,7440,0,,true
DBAL-2021-07-05,BALAGUER,200,24907,1159,,,8713,0,,false
DBAL-2021-07-12,BALAGUER,400,95698,39435,,,6977,0,Canvi metodològic,false
DBAL-2021-07-19,BALAGUER,304,57732,4559,,,7379,0,,false
DBAL-2021-07-26,BALAGUER,339,12459,2888,,,9434,0,,false
DBAL-2021-08-02,BALAGUER,304,41678,15306,,,9120,0,,false
DBAL-2021-08-09,BALAGUER,288,59986,9872,,,8754,0,,false
DBAL-2021-08-16,BALAGUER,272,28186,18760,,,9776,0,,false
DBAL-2021-08-23,BALAGUER,312,81251,312,,,8911,0,,false
DBAL-2021-08-30,BALAGUER,344,2837,2436,,,9545,0,,false
DBAL-2021-09-06,BALAGUER,384,6881,384,,,9520,0,,false
DBAL-2021-09-13,BALAGUER,424,434,424,,,8677,0,,true
DBAL-2021-09-20,BALAGUER,240,1467,240,,,9871,0,,false
DBAL-2021-09-27,BALAGUER,344,1565,344,,,9033,0,,false
DBAL-2021-10-04,BALAGUER,448,448,448,,,8524,0,,false
DBAL-2021-10-12,BALAGUER,304,5753,1081,,,,,,false
DBAL-2021-10-18,BALAGUER,352,936,352,,,7321,0,,false
DBAL-2021-10-26,BALAGUER,320,569,421,,,,,,false
DBAL-2021-11-02,BALAGUER,368,8555,7153,,,7269,0,,false
DBAL-2021-11-08,BALAGUER,264,264,264,,,7556,0,,false
DBAL-2021-11-15,BALAGUER,312,191366,62269,,,7866,0,,false
DBAL-2021-11-22,BALAGUER,368,44695,33110,,,7928,0,,false
DBAL-2021-11-29,BALAGUER,216,124023,78020,,,7800,0,,false
DBAL-2021-12-08,BALAGUER,368,13138,10743,,,7359,0,,false
DBAL-2021-12-13,BALAGUER,240,799576,1083581,,,6917,0,,false
DBAL-2021-12-20,BALAGUER,296,41411,21368,,,7851,0,,false
DBAL-2021-12-27,BALAGUER,208,174677,210137,,,7718,0,,false
DBAL-2022-01-03,BALAGUER,200,125347,159235,,,7533,0,,false
DBAL-2022-01-10,BALAGUER,240,156095,125166,,,7175,0,,false
DBAL-2022-01-17,BALAGUER,304,173536,375468,,,7431,0,,false
DBAL-2022-01-24,BALAGUER,304,140916,77963,,,7228,0,,false
DBAL-2022-01-31,BALAGUER,232,16925,41546,,,7058,0,,false
DBAL-2022-02-07,BALAGUER,200,47783,105098,,,6499,0,,false
DBAL-2022-02-14,BALAGUER,368,51252,120266,,,5515,0,,false
DBAL-2022-02-21,BALAGUER,304,36177,68211,,,,,,false
DBAY-2020-07-06,BANYOLES,100,100,,100,100,11707,0,,false
DBAY-2020-07-13,BANYOLES,148,148,,148,148,12415,1,,false
DBAY-2020-07-20,BANYOLES,148,148,,3520,148,11990,0,,false
DBAY-2020-07-27,BANYOLES,148,148,,148,148,11942,0,,false
DBAY-2020-08-03,BANYOLES,148,1482,,149,,11912,0.1,,false
DBAY-2020-08-10,BANYOLES,148,148,,2170,,12416,0,,false
DBAY-2020-08-17,BANYOLES,148,17153,,148,,9891,0,,false
DBAY-2020-08-24,BANYOLES,667,57044,,5251,,9988,0,Canvi metodològic,false
DBAY-2020-08-31,BANYOLES,833,77649,,9506,,10714,0,,false
DBAY-2020-09-07,BANYOLES,667,43419,,789,,12527,0,,false
DBAY-2020-09-14,BANYOLES,667,54882,,1029,,10969,0,,false
DBAY-2020-09-21,BANYOLES,567,949768,,29500,,11700,1.3,,false
DBAY-2020-09-28,BANYOLES,833,295032,,221975,,11303,0,,false
DBAY-2020-10-05,BANYOLES,833,2352035,,749217,,10851,0,,false
DBAY-2020-10-12,BANYOLES,667,1245515,,167578,,9812,0,,false
DBAY-2020-10-19,BANYOLES,833,1701956,,62534,,10388,0,,false
DBAY-2020-10-26,BANYOLES,667,3099630,,378856,,10514,0,,false
DBAY-2020-11-02,BANYOLES,1000,5491711,,2053053,,10061,0,,false
DBAY-2020-11-09,BANYOLES,833,571929,,413952,,10210,0,,false
DBAY-2020-11-16,BANYOLES,833,622923,,349082,,10505,0,,false
DBAY-2020-11-23,BANYOLES,667,563835,,234170,,9946,0,,false
DBAY-2020-11-30,BANYOLES,667,685008,,714214,,11096,0,,false
DBAY-2020-12-08,BANYOLES,833,559537,,298987,,9615,0,,false
DBAY-2020-12-14,BANYOLES,667,1830416,,737130,,9389,0,,false
DBAY-2020-12-21,BANYOLES,667,912617,,522372,,10397,0,,false
DBAY-2020-12-28,BANYOLES,833,895118,,519420,,10286,0,,false
DBAY-2021-01-04,BANYOLES,833,1960462,,951025,,10029,0,,false
DBAY-2021-01-11,BANYOLES,933,2420137,,696155,,9927,0,,false
DBAY-2021-01-18,BANYOLES,667,392132,,205594,,10356,0,,false
DBAY-2021-01-25,BANYOLES,667,392597,,240167,,10422,0,,false
DBAY-2021-02-01,BANYOLES,833,157649,,120853,,9748,0,,false
DBAY-2021-02-08,BANYOLES,667,590812,,30161,,12775,3.2,,false
DBAY-2021-02-15,BANYOLES,900,258853,,32241,,10534,0,Repetición IP4,false
DBAY-2021-02-22,BANYOLES,1000,120688,,190044,,15878,6.3,Repetición IP4,false
DBAY-2021-03-01,BANYOLES,833,178440,,7744,,11182,0,Repetición IP4,false
DBAY-2021-03-08,BANYOLES,933,208133,,42437,,12074,0,,false
DBAY-2021-03-15,BANYOLES,833,323788,,20209,,12034,0,,false
DBAY-2021-03-22,BANYOLES,833,263889,,2291,,11936,0,,false
DBAY-2021-03-29,BANYOLES,833,777157,,79911,,10624,0,,false
DBAY-2021-04-05,BANYOLES,800,149585,,,,11083,0,,false
DBAY-2021-04-05,BANYOLES,1600,,,2932,,11083,0,,false
DBAY-2021-04-12,BANYOLES,833,79847,,8365,,13278,1.4,,false
DBAY-2021-04-19,BANYOLES,900,149697,,168510,,11311,0,,false
DBAY-2021-04-26,BANYOLES,700,197988,,4449,,13724,7.8,,false
